Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
qtrimmed_MRF_V5_3_1_S32_L008.sort	46698730.0	0.0	46698730.0	1.0	23349365.0	23349365.0	13631607.0	12290652.0	33067123.0	10855994.0	46698730.0	0.0	1373030.0	0.0	0.0	6992794861.0	3499627294.0	3493167567.0	2041392275.0	2041392275.0	0.0	0.0	45551041.0	0.02231371	149.0	150.0	150.0	150.0	150.0	150.0	38.1	378.6	74.2	5975626.0	3561.0	335.0	165804.0	23.2	29.190530449115	26.31902837614642	70.80946955088501	23.24687202414284	100.0	0.0	2.94018702435805	0.0
qtrimmed_MRF_V5_3_2_S34_L008.sort	40070944.0	0.0	40070944.0	1.0	20035472.0	20035472.0	12264064.0	11102670.0	27806880.0	9788490.0	40070944.0	0.0	1186514.0	0.0	0.0	6000976854.0	3003113992.0	2997862862.0	1836776190.0	1836776190.0	0.0	0.0	39702035.0	0.02161506	149.0	150.0	150.0	150.0	150.0	150.0	38.3	375.2	75.8	5400128.0	2976.0	306.0	147925.0	24.4	30.605877415815307	27.707532919613776	69.39412258418469	24.427899677132636	100.0	0.0	2.961033311319045	0.0
qtrimmed_MRF_flow_1_1_S17_L007.sort	41286206.0	0.0	41286206.0	1.0	20643103.0	20643103.0	13552324.0	12345866.0	27733882.0	10714624.0	41286206.0	0.0	1184559.0	0.0	0.0	6181441760.0	3094287832.0	3087153928.0	2029302203.0	2029302203.0	0.0	0.0	43417664.0	0.02139537	149.0	150.0	150.0	150.0	150.0	150.0	38.0	381.3	76.5	6007386.0	3324.0	347.0	161876.0	26.0	32.825307319350195	29.903125513640077	67.17469268064981	25.95206738056774	100.0	0.0	2.869139876887695	0.0
qtrimmed_MRF_flow_1_3_S19_L007.sort	27655880.0	0.0	27655880.0	1.0	13827940.0	13827940.0	8986679.0	8183672.0	18669201.0	7266084.0	27655880.0	0.0	806497.0	0.0	0.0	4141530155.0	2072774041.0	2068756114.0	1345894795.0	1345894795.0	0.0	0.0	28657235.0	0.02129233	149.0	150.0	150.0	150.0	150.0	150.0	38.2	374.1	75.2	3986958.0	2089.0	192.0	102597.0	26.3	32.49464128424046	29.59107430318616	67.50535871575954	26.27319759848539	100.0	0.0	2.9161863589225874	0.0
qtrimmed_MRF_flow_2_1_S21_L007.sort	41431928.0	0.0	41431928.0	1.0	20715964.0	20715964.0	13177179.0	11998528.0	28254749.0	10546358.0	41431928.0	0.0	1176573.0	0.0	0.0	6204703513.0	3105323151.0	3099380362.0	1973532425.0	1973532425.0	0.0	0.0	41915082.0	0.02123861	149.0	150.0	150.0	150.0	150.0	150.0	38.2	377.1	75.9	5842019.0	3009.0	310.0	153926.0	25.5	31.804406978116006	28.95961780972394	68.195593021884	25.454663852476283	100.0	0.0	2.8397737126787823	0.0
qtrimmed_MRF_flow_2_2_S23_L007.sort	45234040.0	0.0	45234040.0	1.0	22617020.0	22617020.0	14413285.0	13140668.0	30820755.0	11550088.0	45234040.0	0.0	1268050.0	0.0	0.0	6774146582.0	3390300993.0	3383845589.0	2158677493.0	2158677493.0	0.0	0.0	45135109.0	0.02090869	149.0	150.0	150.0	150.0	150.0	150.0	38.2	377.5	75.8	6398286.0	3519.0	327.0	168202.0	25.5	31.863802127778108	29.05039655975898	68.1361978722219	25.53406240079374	100.0	0.0	2.8033091892742723	0.0
qtrimmed_MRF_flow_2_3_S25_L007.sort	36504902.0	0.0	36504902.0	1.0	18252451.0	18252451.0	12105818.0	11054582.0	24399084.0	9786344.0	36504902.0	0.0	1065358.0	0.0	0.0	5466089349.0	2735432627.0	2730656722.0	1812794807.0	1812794807.0	0.0	0.0	39042319.0	0.02153709	149.0	150.0	150.0	150.0	150.0	150.0	38.0	375.2	75.7	5385743.0	3538.0	298.0	137712.0	26.8	33.162170932550374	30.2824590516638	66.83782906744963	26.808300978317927	100.0	0.0	2.918397096368044	0.0
qtrimmed_MRF_flow_3_2_S27_L007.sort	39071628.0	0.0	39071628.0	1.0	19535814.0	19535814.0	12730009.0	11497180.0	26341619.0	9990778.0	39071628.0	0.0	1251439.0	0.0	0.0	5850693695.0	2928300287.0	2922393408.0	1906415563.0	1906415563.0	0.0	0.0	42400084.0	0.02224074	149.0	150.0	150.0	150.0	150.0	150.0	38.2	378.4	76.7	5584216.0	2917.0	325.0	161132.0	25.6	32.581209567208205	29.425904648764572	67.4187904327918	25.570416466905343	100.0	0.0	3.2029353883078535	0.0
qtrimmed_MRF_pod_1_1_S28_L007.sort	44832968.0	0.0	44832968.0	1.0	22416484.0	22416484.0	13346073.0	12088574.0	31486895.0	10411632.0	44832968.0	0.0	1245442.0	0.0	0.0	6712593284.0	3359492994.0	3353100290.0	1998339816.0	1998339816.0	0.0	0.0	44082169.0	0.0220594	149.0	150.0	150.0	150.0	150.0	150.0	37.9	381.9	77.1	5877857.0	2395.0	328.0	163707.0	23.2	29.768435139069982	26.963581799893326	70.23156486093002	23.22316024225744	100.0	0.0	2.7779601832294483	0.0
qtrimmed_MRF_pod_2_1_S29_L007.sort	44209480.0	0.0	44209480.0	1.0	22104740.0	22104740.0	13186792.0	11961974.0	31022688.0	10524082.0	44209480.0	0.0	1251381.0	0.0	0.0	6620040711.0	3313346876.0	3306693835.0	1974707161.0	1974707161.0	0.0	0.0	42686015.0	0.02161638	149.0	150.0	150.0	150.0	150.0	150.0	38.0	376.0	76.0	5820009.0	3332.0	302.0	157344.0	23.8	29.827973547754915	27.057486312890354	70.17202645224508	23.805034576294496	100.0	0.0	2.8305716330524584	0.0
qtrimmed_MRF_pod_2_2_S18_L007.sort	78952472.0	0.0	78952472.0	1.0	39476236.0	39476236.0	21391234.0	19298096.0	57561238.0	17175438.0	78952472.0	0.0	2135115.0	0.0	0.0	11823477715.0	5916951839.0	5906525876.0	3203610269.0	3203610269.0	0.0	0.0	72491539.0	0.02262807	149.0	150.0	150.0	150.0	150.0	150.0	38.2	373.7	75.5	9397708.0	6285.0	525.0	244530.0	21.8	27.09381157818592	24.44267482847149	72.90618842181408	21.754148495819106	100.0	0.0	2.7043041793548905	0.0
qtrimmed_MRF_senesc_1_2_S20_L007.sort	69932702.0	0.0	69932702.0	1.0	34966351.0	34966351.0	21305217.0	19341450.0	48627485.0	16810718.0	69932702.0	0.0	1948223.0	0.0	0.0	10471946438.0	5241400690.0	5230545748.0	3190574338.0	3190574338.0	0.0	0.0	68615346.0	0.02150564	149.0	150.0	150.0	150.0	150.0	150.0	38.2	378.4	77.5	9408064.0	5085.0	539.0	257037.0	24.0	30.465313638246094	27.657232520488055	69.5346863617539	24.038421967450933	100.0	0.0	2.7858540343543425	0.0
qtrimmed_MRF_senesc_1_3_S22_L007.sort	76135916.0	0.0	76135916.0	1.0	38067958.0	38067958.0	23178614.0	21082546.0	52957302.0	18618914.0	76135916.0	0.0	2078990.0	0.0	0.0	11402316940.0	5706368940.0	5695948000.0	3471604630.0	3471604630.0	0.0	0.0	73429371.0	0.02115142	149.0	150.0	150.0	150.0	150.0	150.0	38.3	375.0	76.2	10268074.0	6410.0	615.0	266174.0	24.5	30.443731707384984	27.690670983718118	69.55626829261502	24.454836794765825	100.0	0.0	2.7306297858161974	0.0
qtrimmed_MRF_senesc_2_3_S24_L007.sort	63138882.0	0.0	63138882.0	1.0	31569441.0	31569441.0	20104098.0	18355574.0	43034784.0	16018078.0	63138882.0	0.0	1730485.0	0.0	0.0	9453614298.0	4732020305.0	4721593993.0	3010385493.0	3010385493.0	0.0	0.0	61260814.0	0.02034982	149.0	150.0	150.0	150.0	150.0	150.0	38.0	377.4	77.1	8940645.0	4254.0	514.0	232374.0	25.4	31.841073777644652	29.071743779055193	68.15892622235535	25.369593969053806	100.0	0.0	2.740759647913943	0.0
qtrimmed_MRF_senesc_3_1_S26_L007.sort	58074272.0	0.0	58074272.0	1.0	29037136.0	29037136.0	17804172.0	16237370.0	40270100.0	14476686.0	58074272.0	0.0	1585897.0	0.0	0.0	8694908950.0	4351660736.0	4343248214.0	2665802450.0	2665802450.0	0.0	0.0	57566212.0	0.02159433	149.0	150.0	150.0	150.0	150.0	150.0	37.9	373.6	74.7	7917435.0	3940.0	423.0	196887.0	24.9	30.657589646582224	27.959661724214126	69.34241035341778	24.92788200599398	100.0	0.0	2.7308082312250077	0.0
qtrimmed_MRF_senesc_3_2_S37_L008.sort	49070974.0	0.0	49070974.0	1.0	24535487.0	24535487.0	15512758.0	14104274.0	33558216.0	12232260.0	49070974.0	0.0	1385511.0	0.0	0.0	7347710802.0	3677682622.0	3670028180.0	2323092093.0	2323092093.0	0.0	0.0	48854565.0	0.02102997	149.0	150.0	150.0	150.0	150.0	150.0	38.1	379.1	77.3	6858881.0	3946.0	409.0	188901.0	24.9	31.61290012299328	28.74260046275014	68.38709987700672	24.92768943204592	100.0	0.0	2.8234837971628606	0.0
qtrimmed_MRF_senesc_3_3_S39_L008.sort	51395050.0	0.0	51395050.0	1.0	25697525.0	25697525.0	15675715.0	14254368.0	35719335.0	12710360.0	51395050.0	0.0	1458742.0	0.0	0.0	7697261269.0	3852032782.0	3845228487.0	2347842441.0	2347842441.0	0.0	0.0	50291092.0	0.02142013	149.0	150.0	150.0	150.0	150.0	150.0	38.3	372.7	75.2	6943779.0	4176.0	353.0	178876.0	24.7	30.500437298922755	27.734904431457892	69.49956270107724	24.73070850208337	100.0	0.0	2.8382927927884105	0.0
