Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
qtrimmed_MRF_V5_3_1_S32_L008	46698730	0	46698730	0	23349365	23349365	966587	893334	45732143	799528	46698730	0	64659	0	0	6992794861	3499627294	3493167567	144748354	144748354	0	0	2475291	0.01710065	149	150	150	150	150	150	38.1	388.3	77.1	441778	250	14	4625	1.7	2.069835732	1.912972794	97.93016427	1.712097952	100	0	0.138459868	0
qtrimmed_MRF_V5_3_2_S34_L008	40070944	0	40070944	0	20035472	20035472	961472	895904	39109472	799480	40070944	0	54960	0	0	6000976854	3003113992	2997862862	143994911	143994911	0	0	2197239	0.01525914	149	150	150	150	150	150	38.3	385.5	79	443050	236	8	4658	2	2.399424381	2.235794595	97.60057562	1.995161382	100	0	0.137156739	0
qtrimmed_MRF_flow_1_1_S17_L007	41286206	0	41286206	0	20643103	20643103	1180236	1104688	40105970	968644	41286206	0	63387	0	0	6181441760	3094287832	3087153928	176707375	176707375	0	0	2887579	0.01634102	149	150	150	150	150	150	38	391.1	79.2	546204	286	21	5833	2.3	2.858669067	2.675683011	97.14133093	2.346168597	100	0	0.153530697	0
qtrimmed_MRF_flow_1_3_S19_L007	27655880	0	27655880	0	13827940	13827940	707725	659716	26948155	593068	27655880	0	41489	0	0	4141530155	2072774041	2068756114	105988255	105988255	0	0	1749772	0.01650911	149	150	150	150	150	150	38.2	382.5	77.9	326253	175	7	3423	2.1	2.559039886	2.385445699	97.44096011	2.144455356	100	0	0.15001873	0
qtrimmed_MRF_flow_2_1_S21_L007	41431928	0	41431928	0	20715964	20715964	992769	925760	40439159	822834	41431928	0	57600	0	0	6204703513	3105323151	3099380362	148681488	148681488	0	0	2456485	0.01652179	149	150	150	150	150	150	38.2	386.9	79	457807	213	21	4839	2	2.396144828	2.23441207	97.60385517	1.985990128	100	0	0.139023219	0
qtrimmed_MRF_flow_2_2_S23_L007	45234040	0	45234040	0	22617020	22617020	1128480	1052328	44105560	935874	45234040	0	65074	0	0	6774146582	3390300993	3383845589	169005054	169005054	0	0	2758197	0.0163202	149	150	150	150	150	150	38.2	387.2	78.7	520357	275	16	5516	2.1	2.494758372	2.326407281	97.50524163	2.068959571	100	0	0.143860685	0
qtrimmed_MRF_flow_2_3_S25_L007	36504902	0	36504902	0	18252451	18252451	909922	848658	35594980	760122	36504902	0	53031	0	0	5466089349	2735432627	2730656722	136250053	136250053	0	0	2327379	0.01708167	149	150	150	150	150	150	38	384.6	78.7	419613	280	15	4421	2.1	2.492602226	2.32477819	97.50739777	2.082246379	100	0	0.145270901	0
qtrimmed_MRF_flow_3_2_S27_L007	39071628	0	39071628	0	19535814	19535814	866009	796266	38205619	699494	39071628	0	60420	0	0	5850693695	2928300287	2922393408	129692242	129692242	0	0	2320551	0.01789275	149	150	150	150	150	150	38.2	390.7	80.2	393389	220	5	4519	1.8	2.216465104	2.037964735	97.7835349	1.790286292	100	0	0.154639064	0
qtrimmed_MRF_pod_1_1_S28_L007	44832968	0	44832968	0	22416484	22416484	993594	923740	43839374	806492	44832968	0	59574	0	0	6712593284	3359492994	3353100290	148764272	148764272	0	0	2489794	0.01673651	149	150	150	150	150	150	37.9	391.3	79.6	456729	174	16	4951	1.8	2.216212855	2.060403407	97.78378715	1.798881573	100	0	0.132879893	0
qtrimmed_MRF_pod_2_1_S29_L007	44209480	0	44209480	0	22104740	22104740	876291	810410	43333189	723096	44209480	0	57071	0	0	6620040711	3313346876	3306693835	131226890	131226890	0	0	2228180	0.0169796	149	150	150	150	150	150	38	385.2	79	400818	223	12	4152	1.6	1.982133696	1.833113622	98.0178663	1.635612995	100	0	0.129092222	0
qtrimmed_MRF_pod_2_2_S18_L007	78952472	0	78952472	0	39476236	39476236	1482401	1372494	77470071	1235416	78952472	0	96974	0	0	11823477715	5916951839	5906525876	221996161	221996161	0	0	3821493	0.01721423	149	150	150	150	150	150	38.2	382	78.2	678846	443	24	6934	1.6	1.877586556	1.738380022	98.12241344	1.564759112	100	0	0.122825793	0
qtrimmed_MRF_senesc_1_2_S20_L007	69932702	0	69932702	0	34966351	34966351	1673588	1560918	68259114	1372906	69932702	0	96442	0	0	10471946438	5241400690	5230545748	250612321	250612321	0	0	4089987	0.01631998	149	150	150	150	150	150	38.2	387.8	80.3	771943	413	26	8077	2	2.393140766	2.23202873	97.60685923	1.963181689	100	0	0.137906869	0
qtrimmed_MRF_senesc_1_3_S22_L007	76135916	0	76135916	0	38067958	38067958	1926377	1803324	74209539	1607258	76135916	0	105432	0	0	11402316940	5706368940	5695948000	288501851	288501851	0	0	4571635	0.01584612	149	150	150	150	150	150	38.3	383.6	79.1	891772	503	41	9346	2.1	2.530181682	2.368558881	97.46981832	2.111037844	100	0	0.138478665	0
qtrimmed_MRF_senesc_2_3_S24_L007	63138882	0	63138882	0	31569441	31569441	1918188	1813494	61220694	1596834	63138882	0	85918	0	0	9453614298	4732020305	4721593993	287219175	287219175	0	0	3894306	0.01355866	149	150	150	150	150	150	38	389.4	80.5	898241	359	17	8130	2.5	3.038045558	2.872230142	96.96195444	2.529081842	100	0	0.136077798	0
qtrimmed_MRF_senesc_3_1_S26_L007	58074272	0	58074272	0	29037136	29037136	1439254	1347708	56635018	1214268	58074272	0	79885	0	0	8694908950	4351660736	4343248214	215486020	215486020	0	0	3515821	0.01631577	149	150	150	150	150	150	37.9	381.4	77.4	666985	316	26	6527	2.1	2.478298824	2.320662754	97.52170118	2.090888027	100	0	0.13755661	0
qtrimmed_MRF_senesc_3_2_S37_L008	49070974	0	49070974	0	24535487	24535487	1153074	1075278	47917900	941742	49070974	0	65255	0	0	7347710802	3677682622	3670028180	172670632	172670632	0	0	2763312	0.01600337	149	150	150	150	150	150	38.1	390.5	80.6	531470	279	21	5869	1.9	2.349808667	2.191270954	97.65019133	1.919142669	100	0	0.132980853	0
qtrimmed_MRF_senesc_3_3_S39_L008	51395050	0	51395050	0	25697525	25697525	1117858	1040270	50277192	937286	51395050	0	68529	0	0	7697261269	3852032782	3845228487	167422037	167422037	0	0	2775867	0.01658006	149	150	150	150	150	150	38.3	381.2	78	514374	341	26	5394	1.8	2.175030475	2.02406652	97.82496953	1.823689246	100	0	0.133337744	0
